date,MCD stock,isPartial
2012-05-01,85,False
2012-05-02,33,False
2012-05-03,30,False
2012-05-04,61,False
2012-05-05,35,False
2012-05-06,52,False
2012-05-07,36,False
2012-05-08,64,False
2012-05-09,36,False
2012-05-10,45,False
2012-05-11,31,False
2012-05-12,27,False
2012-05-13,54,False
2012-05-14,29,False
2012-05-15,78,False
2012-05-16,43,False
2012-05-17,38,False
2012-05-18,78,False
2012-05-19,28,False
2012-05-20,54,False
2012-05-21,65,False
2012-05-22,43,False
2012-05-23,94,False
2012-05-24,44,False
2012-05-25,85,False
2012-05-26,42,False
2012-05-27,28,False
2012-05-28,35,False
2012-05-29,42,False
2012-05-30,100,False
2012-05-31,54,False
