date,HD stock,isPartial
2014-02-01,58,False
2014-02-02,25,False
2014-02-03,49,False
2014-02-04,92,False
2014-02-05,24,False
2014-02-06,33,False
2014-02-07,48,False
2014-02-08,68,False
2014-02-09,39,False
2014-02-10,57,False
2014-02-11,48,False
2014-02-12,67,False
2014-02-13,64,False
2014-02-14,64,False
2014-02-15,58,False
2014-02-16,60,False
2014-02-17,46,False
2014-02-18,42,False
2014-02-19,74,False
2014-02-20,47,False
2014-02-21,67,False
2014-02-22,46,False
2014-02-23,53,False
2014-02-24,45,False
2014-02-25,66,False
2014-02-26,100,False
2014-02-27,74,False
2014-02-28,100,False
