date,SBUX stock,isPartial
2012-03-01,33,False
2012-03-02,34,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,32,False
2012-03-06,46,False
2012-03-07,62,False
2012-03-08,64,False
2012-03-09,44,False
2012-03-10,56,False
2012-03-11,37,False
2012-03-12,46,False
2012-03-13,93,False
2012-03-14,62,False
2012-03-15,83,False
2012-03-16,66,False
2012-03-17,38,False
2012-03-18,75,False
2012-03-19,0,False
2012-03-20,61,False
2012-03-21,77,False
2012-03-22,63,False
2012-03-23,100,False
2012-03-24,38,False
2012-03-25,38,False
2012-03-26,31,False
2012-03-27,31,False
2012-03-28,79,False
2012-03-29,32,False
2012-03-30,67,False
2012-03-31,38,False
