date,WDC stock,isPartial
2015-01-01,34,False
2015-01-02,88,False
2015-01-03,0,False
2015-01-04,30,False
2015-01-05,26,False
2015-01-06,35,False
2015-01-07,43,False
2015-01-08,26,False
2015-01-09,53,False
2015-01-10,30,False
2015-01-11,30,False
2015-01-12,51,False
2015-01-13,63,False
2015-01-14,51,False
2015-01-15,26,False
2015-01-16,53,False
2015-01-17,0,False
2015-01-18,29,False
2015-01-19,25,False
2015-01-20,25,False
2015-01-21,100,False
2015-01-22,42,False
2015-01-23,44,False
2015-01-24,44,False
2015-01-25,0,False
2015-01-26,83,False
2015-01-27,83,False
2015-01-28,67,False
2015-01-29,76,False
2015-01-30,43,False
2015-01-31,29,False
