date,GS stock,isPartial
2016-01-01,14,False
2016-01-02,13,False
2016-01-03,26,False
2016-01-04,28,False
2016-01-05,45,False
2016-01-06,23,False
2016-01-07,28,False
2016-01-08,35,False
2016-01-09,25,False
2016-01-10,12,False
2016-01-11,27,False
2016-01-12,27,False
2016-01-13,28,False
2016-01-14,27,False
2016-01-15,75,False
2016-01-16,25,False
2016-01-17,12,False
2016-01-18,44,False
2016-01-19,66,False
2016-01-20,100,False
2016-01-21,56,False
2016-01-22,58,False
2016-01-23,13,False
2016-01-24,0,False
2016-01-25,77,False
2016-01-26,44,False
2016-01-27,50,False
2016-01-28,22,False
2016-01-29,23,False
2016-01-30,0,False
2016-01-31,19,False
