date,SYMC stock,isPartial
2013-11-01,0,False
2013-11-02,0,False
2013-11-03,58,False
2013-11-04,75,False
2013-11-05,0,False
2013-11-06,0,False
2013-11-07,100,False
2013-11-08,52,False
2013-11-09,59,False
2013-11-10,57,False
2013-11-11,49,False
2013-11-12,50,False
2013-11-13,0,False
2013-11-14,50,False
2013-11-15,53,False
2013-11-16,0,False
2013-11-17,0,False
2013-11-18,97,False
2013-11-19,0,False
2013-11-20,49,False
2013-11-21,0,False
2013-11-22,0,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,0,False
2013-11-26,48,False
2013-11-27,49,False
2013-11-28,53,False
2013-11-29,0,False
2013-11-30,0,False
