date,ADBE stock,isPartial
2017-10-01,17,False
2017-10-02,18,False
2017-10-03,21,False
2017-10-04,30,False
2017-10-05,15,False
2017-10-06,18,False
2017-10-07,7,False
2017-10-08,7,False
2017-10-09,12,False
2017-10-10,15,False
2017-10-11,15,False
2017-10-12,18,False
2017-10-13,18,False
2017-10-14,7,False
2017-10-15,0,False
2017-10-16,33,False
2017-10-17,21,False
2017-10-18,44,False
2017-10-19,100,False
2017-10-20,56,False
2017-10-21,17,False
2017-10-22,16,False
2017-10-23,32,False
2017-10-24,35,False
2017-10-25,32,False
2017-10-26,15,False
2017-10-27,40,False
2017-10-28,10,False
2017-10-29,7,False
2017-10-30,29,False
2017-10-31,27,False
