date,EBAY stock,isPartial
2012-08-01,68,False
2012-08-02,78,False
2012-08-03,61,False
2012-08-04,66,False
2012-08-05,60,False
2012-08-06,87,False
2012-08-07,68,False
2012-08-08,71,False
2012-08-09,90,False
2012-08-10,85,False
2012-08-11,58,False
2012-08-12,58,False
2012-08-13,70,False
2012-08-14,81,False
2012-08-15,99,False
2012-08-16,62,False
2012-08-17,81,False
2012-08-18,92,False
2012-08-19,43,False
2012-08-20,83,False
2012-08-21,82,False
2012-08-22,100,False
2012-08-23,70,False
2012-08-24,61,False
2012-08-25,74,False
2012-08-26,90,False
2012-08-27,67,False
2012-08-28,79,False
2012-08-29,77,False
2012-08-30,91,False
2012-08-31,46,False
