date,MRVL stock,isPartial
2013-01-01,0,False
2013-01-02,46,False
2013-01-03,0,False
2013-01-04,0,False
2013-01-05,35,False
2013-01-06,0,False
2013-01-07,58,False
2013-01-08,29,False
2013-01-09,57,False
2013-01-10,0,False
2013-01-11,0,False
2013-01-12,34,False
2013-01-13,0,False
2013-01-14,28,False
2013-01-15,71,False
2013-01-16,57,False
2013-01-17,43,False
2013-01-18,30,False
2013-01-19,0,False
2013-01-20,0,False
2013-01-21,56,False
2013-01-22,28,False
2013-01-23,28,False
2013-01-24,100,False
2013-01-25,44,False
2013-01-26,33,False
2013-01-27,0,False
2013-01-28,0,False
2013-01-29,84,False
2013-01-30,42,False
2013-01-31,28,False
