date,WDC stock,isPartial
2017-02-01,100,False
2017-02-02,66,False
2017-02-03,55,False
2017-02-04,21,False
2017-02-05,17,False
2017-02-06,44,False
2017-02-07,37,False
2017-02-08,42,False
2017-02-09,40,False
2017-02-10,55,False
2017-02-11,11,False
2017-02-12,17,False
2017-02-13,39,False
2017-02-14,64,False
2017-02-15,40,False
2017-02-16,67,False
2017-02-17,57,False
2017-02-18,20,False
2017-02-19,0,False
2017-02-20,37,False
2017-02-21,54,False
2017-02-22,49,False
2017-02-23,45,False
2017-02-24,49,False
2017-02-25,14,False
2017-02-26,21,False
2017-02-27,39,False
2017-02-28,49,False
