date,EBAY stock,isPartial
2013-08-01,85,False
2013-08-02,85,False
2013-08-03,79,False
2013-08-04,75,False
2013-08-05,77,False
2013-08-06,83,False
2013-08-07,74,False
2013-08-08,74,False
2013-08-09,100,False
2013-08-10,62,False
2013-08-11,71,False
2013-08-12,74,False
2013-08-13,74,False
2013-08-14,86,False
2013-08-15,66,False
2013-08-16,79,False
2013-08-17,69,False
2013-08-18,76,False
2013-08-19,67,False
2013-08-20,81,False
2013-08-21,79,False
2013-08-22,64,False
2013-08-23,87,False
2013-08-24,42,False
2013-08-25,67,False
2013-08-26,88,False
2013-08-27,66,False
2013-08-28,75,False
2013-08-29,71,False
2013-08-30,65,False
2013-08-31,50,False
