date,ATVI stock,isPartial
2013-09-01,58,False
2013-09-02,50,False
2013-09-03,96,False
2013-09-04,0,False
2013-09-05,99,False
2013-09-06,0,False
2013-09-07,88,False
2013-09-08,56,False
2013-09-09,48,False
2013-09-10,94,False
2013-09-11,48,False
2013-09-12,49,False
2013-09-13,100,False
2013-09-14,57,False
2013-09-15,0,False
2013-09-16,63,False
2013-09-17,48,False
2013-09-18,72,False
2013-09-19,48,False
2013-09-20,51,False
2013-09-21,0,False
2013-09-22,0,False
2013-09-23,48,False
2013-09-24,71,False
2013-09-25,48,False
2013-09-26,65,False
2013-09-27,51,False
2013-09-28,58,False
2013-09-29,56,False
2013-09-30,47,False
