date,HD stock,isPartial
2015-05-01,78,False
2015-05-02,63,False
2015-05-03,55,False
2015-05-04,87,False
2015-05-05,52,False
2015-05-06,58,False
2015-05-07,100,False
2015-05-08,50,False
2015-05-09,49,False
2015-05-10,63,False
2015-05-11,64,False
2015-05-12,69,False
2015-05-13,65,False
2015-05-14,66,False
2015-05-15,92,False
2015-05-16,42,False
2015-05-17,41,False
2015-05-18,81,False
2015-05-19,57,False
2015-05-20,69,False
2015-05-21,65,False
2015-05-22,49,False
2015-05-23,56,False
2015-05-24,35,False
2015-05-25,36,False
2015-05-26,40,False
2015-05-27,51,False
2015-05-28,46,False
2015-05-29,79,False
2015-05-30,56,False
2015-05-31,34,False
