date,BA stock,isPartial
2017-08-01,69,False
2017-08-02,100,False
2017-08-03,69,False
2017-08-04,75,False
2017-08-05,14,False
2017-08-06,16,False
2017-08-07,56,False
2017-08-08,43,False
2017-08-09,61,False
2017-08-10,61,False
2017-08-11,40,False
2017-08-12,16,False
2017-08-13,16,False
2017-08-14,39,False
2017-08-15,56,False
2017-08-16,51,False
2017-08-17,25,False
2017-08-18,42,False
2017-08-19,17,False
2017-08-20,13,False
2017-08-21,31,False
2017-08-22,53,False
2017-08-23,53,False
2017-08-24,30,False
2017-08-25,35,False
2017-08-26,12,False
2017-08-27,0,False
2017-08-28,23,False
2017-08-29,28,False
2017-08-30,45,False
2017-08-31,40,False
