date,PHG stock,isPartial
2019-03-01,33,False
2019-03-02,0,False
2019-03-03,0,False
2019-03-04,32,False
2019-03-05,64,False
2019-03-06,46,False
2019-03-07,0,False
2019-03-08,100,False
2019-03-09,0,False
2019-03-10,36,False
2019-03-11,32,False
2019-03-12,31,False
2019-03-13,0,False
2019-03-14,32,False
2019-03-15,0,False
2019-03-16,0,False
2019-03-17,0,False
2019-03-18,32,False
2019-03-19,0,False
2019-03-20,32,False
2019-03-21,33,False
2019-03-22,34,False
2019-03-23,37,False
2019-03-24,0,False
2019-03-25,48,False
2019-03-26,32,False
2019-03-27,33,False
2019-03-28,65,False
2019-03-29,34,False
2019-03-30,0,False
2019-03-31,0,False
