date,SBUX stock,isPartial
2012-04-01,31,False
2012-04-02,51,False
2012-04-03,34,False
2012-04-04,39,False
2012-04-05,53,False
2012-04-06,44,False
2012-04-07,32,False
2012-04-08,49,False
2012-04-09,60,False
2012-04-10,35,False
2012-04-11,66,False
2012-04-12,84,False
2012-04-13,62,False
2012-04-14,61,False
2012-04-15,0,False
2012-04-16,41,False
2012-04-17,82,False
2012-04-18,62,False
2012-04-19,59,False
2012-04-20,79,False
2012-04-21,30,False
2012-04-22,0,False
2012-04-23,24,False
2012-04-24,49,False
2012-04-25,49,False
2012-04-26,100,False
2012-04-27,70,False
2012-04-28,0,False
2012-04-29,30,False
2012-04-30,52,False
