date,CTSH stock,isPartial
2013-09-01,41,False
2013-09-02,0,False
2013-09-03,50,False
2013-09-04,34,False
2013-09-05,34,False
2013-09-06,71,False
2013-09-07,41,False
2013-09-08,0,False
2013-09-09,33,False
2013-09-10,33,False
2013-09-11,44,False
2013-09-12,34,False
2013-09-13,35,False
2013-09-14,0,False
2013-09-15,0,False
2013-09-16,33,False
2013-09-17,33,False
2013-09-18,100,False
2013-09-19,34,False
2013-09-20,35,False
2013-09-21,0,False
2013-09-22,0,False
2013-09-23,67,False
2013-09-24,33,False
2013-09-25,34,False
2013-09-26,34,False
2013-09-27,35,False
2013-09-28,0,False
2013-09-29,39,False
2013-09-30,33,False
