date,ATVI stock,isPartial
2018-03-01,50,False
2018-03-02,78,False
2018-03-03,21,False
2018-03-04,15,False
2018-03-05,56,False
2018-03-06,50,False
2018-03-07,51,False
2018-03-08,79,False
2018-03-09,92,False
2018-03-10,26,False
2018-03-11,10,False
2018-03-12,65,False
2018-03-13,51,False
2018-03-14,77,False
2018-03-15,58,False
2018-03-16,47,False
2018-03-17,21,False
2018-03-18,10,False
2018-03-19,52,False
2018-03-20,63,False
2018-03-21,57,False
2018-03-22,64,False
2018-03-23,51,False
2018-03-24,18,False
2018-03-25,10,False
2018-03-26,49,False
2018-03-27,76,False
2018-03-28,100,False
2018-03-29,74,False
2018-03-30,31,False
2018-03-31,14,False
