date,MCD stock,isPartial
2015-01-01,21,False
2015-01-02,22,False
2015-01-03,19,False
2015-01-04,9,False
2015-01-05,40,False
2015-01-06,24,False
2015-01-07,20,False
2015-01-08,27,False
2015-01-09,28,False
2015-01-10,9,False
2015-01-11,9,False
2015-01-12,15,False
2015-01-13,31,False
2015-01-14,15,False
2015-01-15,12,False
2015-01-16,48,False
2015-01-17,9,False
2015-01-18,14,False
2015-01-19,23,False
2015-01-20,27,False
2015-01-21,38,False
2015-01-22,23,False
2015-01-23,59,False
2015-01-24,9,False
2015-01-25,22,False
2015-01-26,23,False
2015-01-27,23,False
2015-01-28,15,False
2015-01-29,100,False
2015-01-30,43,False
2015-01-31,9,False
