date,EXPE stock,isPartial
2014-09-01,48,False
2014-09-02,0,False
2014-09-03,0,False
2014-09-04,0,False
2014-09-05,0,False
2014-09-06,0,False
2014-09-07,0,False
2014-09-08,0,False
2014-09-09,46,False
2014-09-10,0,False
2014-09-11,47,False
2014-09-12,0,False
2014-09-13,0,False
2014-09-14,0,False
2014-09-15,47,False
2014-09-16,0,False
2014-09-17,47,False
2014-09-18,0,False
2014-09-19,100,False
2014-09-20,56,False
2014-09-21,0,False
2014-09-22,46,False
2014-09-23,0,False
2014-09-24,48,False
2014-09-25,0,False
2014-09-26,0,False
2014-09-27,0,False
2014-09-28,0,False
2014-09-29,0,False
2014-09-30,0,False
