date,MAT stock,isPartial
2018-03-01,30,False
2018-03-02,54,False
2018-03-03,0,False
2018-03-04,24,False
2018-03-05,38,False
2018-03-06,38,False
2018-03-07,43,False
2018-03-08,31,False
2018-03-09,100,False
2018-03-10,37,False
2018-03-11,30,False
2018-03-12,58,False
2018-03-13,39,False
2018-03-14,51,False
2018-03-15,56,False
2018-03-16,49,False
2018-03-17,15,False
2018-03-18,0,False
2018-03-19,26,False
2018-03-20,52,False
2018-03-21,26,False
2018-03-22,26,False
2018-03-23,27,False
2018-03-24,38,False
2018-03-25,0,False
2018-03-26,65,False
2018-03-27,40,False
2018-03-28,22,False
2018-03-29,28,False
2018-03-30,40,False
2018-03-31,38,False
