date,FB stock,isPartial
2017-12-01,91,False
2017-12-02,26,False
2017-12-03,16,False
2017-12-04,92,False
2017-12-05,100,False
2017-12-06,86,False
2017-12-07,88,False
2017-12-08,88,False
2017-12-09,20,False
2017-12-10,8,False
2017-12-11,69,False
2017-12-12,72,False
2017-12-13,68,False
2017-12-14,81,False
2017-12-15,78,False
2017-12-16,19,False
2017-12-17,16,False
2017-12-18,73,False
2017-12-19,68,False
2017-12-20,67,False
2017-12-21,68,False
2017-12-22,63,False
2017-12-23,19,False
2017-12-24,12,False
2017-12-25,14,False
2017-12-26,56,False
2017-12-27,71,False
2017-12-28,70,False
2017-12-29,59,False
2017-12-30,22,False
2017-12-31,9,False
