date,HD stock,isPartial
2014-07-01,94,False
2014-07-02,41,False
2014-07-03,63,False
2014-07-04,7,False
2014-07-05,33,False
2014-07-06,33,False
2014-07-07,100,False
2014-07-08,60,False
2014-07-09,47,False
2014-07-10,74,False
2014-07-11,42,False
2014-07-12,57,False
2014-07-13,32,False
2014-07-14,27,False
2014-07-15,40,False
2014-07-16,35,False
2014-07-17,42,False
2014-07-18,64,False
2014-07-19,58,False
2014-07-20,25,False
2014-07-21,33,False
2014-07-22,74,False
2014-07-23,55,False
2014-07-24,62,False
2014-07-25,64,False
2014-07-26,67,False
2014-07-27,16,False
2014-07-28,41,False
2014-07-29,61,False
2014-07-30,41,False
2014-07-31,89,False
