date,ODP stock,isPartial
2014-02-01,0,False
2014-02-02,0,False
2014-02-03,0,False
2014-02-04,64,False
2014-02-05,87,False
2014-02-06,90,False
2014-02-07,98,False
2014-02-08,100,False
2014-02-09,0,False
2014-02-10,42,False
2014-02-11,85,False
2014-02-12,0,False
2014-02-13,65,False
2014-02-14,45,False
2014-02-15,0,False
2014-02-16,51,False
2014-02-17,0,False
2014-02-18,43,False
2014-02-19,44,False
2014-02-20,66,False
2014-02-21,90,False
2014-02-22,0,False
2014-02-23,51,False
2014-02-24,43,False
2014-02-25,71,False
2014-02-26,86,False
2014-02-27,58,False
2014-02-28,46,False
