date,FB stock,isPartial
2018-12-01,14,False
2018-12-02,9,False
2018-12-03,59,False
2018-12-04,63,False
2018-12-05,45,False
2018-12-06,66,False
2018-12-07,53,False
2018-12-08,20,False
2018-12-09,9,False
2018-12-10,54,False
2018-12-11,56,False
2018-12-12,55,False
2018-12-13,55,False
2018-12-14,58,False
2018-12-15,19,False
2018-12-16,6,False
2018-12-17,40,False
2018-12-18,51,False
2018-12-19,97,False
2018-12-20,100,False
2018-12-21,95,False
2018-12-22,33,False
2018-12-23,17,False
2018-12-24,64,False
2018-12-25,30,False
2018-12-26,77,False
2018-12-27,91,False
2018-12-28,61,False
2018-12-29,14,False
2018-12-30,11,False
2018-12-31,49,False
