date,QCOM,isPartial
2013-01-01,18,False
2013-01-02,27,False
2013-01-03,28,False
2013-01-04,46,False
2013-01-05,8,False
2013-01-06,3,False
2013-01-07,30,False
2013-01-08,45,False
2013-01-09,41,False
2013-01-10,32,False
2013-01-11,19,False
2013-01-12,5,False
2013-01-13,3,False
2013-01-14,22,False
2013-01-15,22,False
2013-01-16,18,False
2013-01-17,23,False
2013-01-18,19,False
2013-01-19,5,False
2013-01-20,13,False
2013-01-21,13,False
2013-01-22,9,False
2013-01-23,31,False
2013-01-24,34,False
2013-01-25,48,False
2013-01-26,18,False
2013-01-27,18,False
2013-01-28,24,False
2013-01-29,26,False
2013-01-30,48,False
2013-01-31,100,False
