date,DIS stock,isPartial
2012-02-01,22,False
2012-02-02,45,False
2012-02-03,23,False
2012-02-04,27,False
2012-02-05,0,False
2012-02-06,56,False
2012-02-07,78,False
2012-02-08,100,False
2012-02-09,45,False
2012-02-10,58,False
2012-02-11,27,False
2012-02-12,26,False
2012-02-13,44,False
2012-02-14,22,False
2012-02-15,0,False
2012-02-16,34,False
2012-02-17,35,False
2012-02-18,27,False
2012-02-19,0,False
2012-02-20,23,False
2012-02-21,23,False
2012-02-22,22,False
2012-02-23,34,False
2012-02-24,70,False
2012-02-25,27,False
2012-02-26,26,False
2012-02-27,44,False
2012-02-28,44,False
2012-02-29,44,False
