date,SYMC stock,isPartial
2014-06-01,49,False
2014-06-02,0,False
2014-06-03,39,False
2014-06-04,39,False
2014-06-05,0,False
2014-06-06,0,False
2014-06-07,50,False
2014-06-08,0,False
2014-06-09,61,False
2014-06-10,83,False
2014-06-11,61,False
2014-06-12,81,False
2014-06-13,42,False
2014-06-14,49,False
2014-06-15,48,False
2014-06-16,0,False
2014-06-17,40,False
2014-06-18,41,False
2014-06-19,0,False
2014-06-20,43,False
2014-06-21,0,False
2014-06-22,100,False
2014-06-23,41,False
2014-06-24,40,False
2014-06-25,41,False
2014-06-26,0,False
2014-06-27,43,False
2014-06-28,50,False
2014-06-29,0,False
2014-06-30,41,False
