date,SBUX stock,isPartial
2012-06-01,61,False
2012-06-02,0,False
2012-06-03,35,False
2012-06-04,38,False
2012-06-05,48,False
2012-06-06,29,False
2012-06-07,49,False
2012-06-08,30,False
2012-06-09,35,False
2012-06-10,35,False
2012-06-11,0,False
2012-06-12,66,False
2012-06-13,58,False
2012-06-14,49,False
2012-06-15,61,False
2012-06-16,36,False
2012-06-17,0,False
2012-06-18,43,False
2012-06-19,100,False
2012-06-20,58,False
2012-06-21,58,False
2012-06-22,61,False
2012-06-23,37,False
2012-06-24,36,False
2012-06-25,28,False
2012-06-26,57,False
2012-06-27,59,False
2012-06-28,29,False
2012-06-29,31,False
2012-06-30,0,False
