date,TWTR,isPartial
2013-05-01,36,False
2013-05-02,17,False
2013-05-03,0,False
2013-05-04,0,False
2013-05-05,40,False
2013-05-06,100,False
2013-05-07,33,False
2013-05-08,50,False
2013-05-09,51,False
2013-05-10,35,False
2013-05-11,60,False
2013-05-12,20,False
2013-05-13,82,False
2013-05-14,33,False
2013-05-15,0,False
2013-05-16,17,False
2013-05-17,52,False
2013-05-18,60,False
2013-05-19,0,False
2013-05-20,66,False
2013-05-21,32,False
2013-05-22,32,False
2013-05-23,16,False
2013-05-24,35,False
2013-05-25,20,False
2013-05-26,0,False
2013-05-27,34,False
2013-05-28,0,False
2013-05-29,65,False
2013-05-30,33,False
2013-05-31,69,False
