date,SBUX stock,isPartial
2018-05-01,34,False
2018-05-02,46,False
2018-05-03,34,False
2018-05-04,43,False
2018-05-05,8,False
2018-05-06,18,False
2018-05-07,100,False
2018-05-08,65,False
2018-05-09,48,False
2018-05-10,26,False
2018-05-11,48,False
2018-05-12,12,False
2018-05-13,30,False
2018-05-14,41,False
2018-05-15,27,False
2018-05-16,32,False
2018-05-17,43,False
2018-05-18,27,False
2018-05-19,16,False
2018-05-20,6,False
2018-05-21,35,False
2018-05-22,46,False
2018-05-23,41,False
2018-05-24,35,False
2018-05-25,36,False
2018-05-26,6,False
2018-05-27,8,False
2018-05-28,19,False
2018-05-29,41,False
2018-05-30,50,False
2018-05-31,39,False
