date,EBAY stock,isPartial
2018-04-01,37,False
2018-04-02,69,False
2018-04-03,72,False
2018-04-04,70,False
2018-04-05,75,False
2018-04-06,71,False
2018-04-07,58,False
2018-04-08,44,False
2018-04-09,81,False
2018-04-10,75,False
2018-04-11,57,False
2018-04-12,69,False
2018-04-13,69,False
2018-04-14,42,False
2018-04-15,51,False
2018-04-16,73,False
2018-04-17,71,False
2018-04-18,86,False
2018-04-19,96,False
2018-04-20,76,False
2018-04-21,46,False
2018-04-22,49,False
2018-04-23,71,False
2018-04-24,67,False
2018-04-25,86,False
2018-04-26,100,False
2018-04-27,81,False
2018-04-28,32,False
2018-04-29,45,False
2018-04-30,75,False
