date,DIS stock,isPartial
2014-06-01,43,False
2014-06-02,79,False
2014-06-03,87,False
2014-06-04,70,False
2014-06-05,45,False
2014-06-06,47,False
2014-06-07,100,False
2014-06-08,44,False
2014-06-09,72,False
2014-06-10,45,False
2014-06-11,80,False
2014-06-12,80,False
2014-06-13,65,False
2014-06-14,43,False
2014-06-15,54,False
2014-06-16,44,False
2014-06-17,79,False
2014-06-18,27,False
2014-06-19,27,False
2014-06-20,57,False
2014-06-21,33,False
2014-06-22,43,False
2014-06-23,89,False
2014-06-24,88,False
2014-06-25,44,False
2014-06-26,54,False
2014-06-27,85,False
2014-06-28,22,False
2014-06-29,66,False
2014-06-30,81,False
