date,INTC stock,isPartial
2017-09-01,75,False
2017-09-02,7,False
2017-09-03,14,False
2017-09-04,18,False
2017-09-05,29,False
2017-09-06,87,False
2017-09-07,48,False
2017-09-08,25,False
2017-09-09,0,False
2017-09-10,0,False
2017-09-11,82,False
2017-09-12,58,False
2017-09-13,59,False
2017-09-14,60,False
2017-09-15,85,False
2017-09-16,21,False
2017-09-17,7,False
2017-09-18,82,False
2017-09-19,87,False
2017-09-20,100,False
2017-09-21,59,False
2017-09-22,80,False
2017-09-23,20,False
2017-09-24,7,False
2017-09-25,99,False
2017-09-26,58,False
2017-09-27,76,False
2017-09-28,96,False
2017-09-29,56,False
2017-09-30,41,False
