date,GS stock,isPartial
2015-10-01,52,False
2015-10-02,70,False
2015-10-03,17,False
2015-10-04,16,False
2015-10-05,24,False
2015-10-06,47,False
2015-10-07,42,False
2015-10-08,36,False
2015-10-09,39,False
2015-10-10,22,False
2015-10-11,25,False
2015-10-12,43,False
2015-10-13,49,False
2015-10-14,51,False
2015-10-15,100,False
2015-10-16,64,False
2015-10-17,25,False
2015-10-18,33,False
2015-10-19,49,False
2015-10-20,28,False
2015-10-21,46,False
2015-10-22,35,False
2015-10-23,44,False
2015-10-24,33,False
2015-10-25,32,False
2015-10-26,21,False
2015-10-27,65,False
2015-10-28,32,False
2015-10-29,42,False
2015-10-30,22,False
2015-10-31,17,False
