date,MAT stock,isPartial
2016-08-01,78,False
2016-08-02,46,False
2016-08-03,47,False
2016-08-04,79,False
2016-08-05,34,False
2016-08-06,76,False
2016-08-07,38,False
2016-08-08,32,False
2016-08-09,32,False
2016-08-10,32,False
2016-08-11,0,False
2016-08-12,67,False
2016-08-13,76,False
2016-08-14,76,False
2016-08-15,0,False
2016-08-16,33,False
2016-08-17,33,False
2016-08-18,100,False
2016-08-19,34,False
2016-08-20,38,False
2016-08-21,38,False
2016-08-22,33,False
2016-08-23,33,False
2016-08-24,0,False
2016-08-25,31,False
2016-08-26,33,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,30,False
2016-08-30,46,False
2016-08-31,30,False
