date,ODP stock,isPartial
2017-02-01,87,False
2017-02-02,77,False
2017-02-03,53,False
2017-02-04,66,False
2017-02-05,0,False
2017-02-06,50,False
2017-02-07,37,False
2017-02-08,63,False
2017-02-09,58,False
2017-02-10,100,False
2017-02-11,88,False
2017-02-12,43,False
2017-02-13,38,False
2017-02-14,38,False
2017-02-15,64,False
2017-02-16,38,False
2017-02-17,51,False
2017-02-18,44,False
2017-02-19,43,False
2017-02-20,38,False
2017-02-21,75,False
2017-02-22,57,False
2017-02-23,77,False
2017-02-24,79,False
2017-02-25,44,False
2017-02-26,43,False
2017-02-27,49,False
2017-02-28,63,False
