date,HD stock,isPartial
2015-08-01,37,False
2015-08-02,18,False
2015-08-03,37,False
2015-08-04,15,False
2015-08-05,49,False
2015-08-06,34,False
2015-08-07,19,False
2015-08-08,26,False
2015-08-09,29,False
2015-08-10,40,False
2015-08-11,46,False
2015-08-12,44,False
2015-08-13,46,False
2015-08-14,25,False
2015-08-15,33,False
2015-08-16,14,False
2015-08-17,33,False
2015-08-18,88,False
2015-08-19,40,False
2015-08-20,46,False
2015-08-21,57,False
2015-08-22,47,False
2015-08-23,21,False
2015-08-24,100,False
2015-08-25,35,False
2015-08-26,81,False
2015-08-27,30,False
2015-08-28,38,False
2015-08-29,32,False
2015-08-30,21,False
2015-08-31,29,False
