date,TXN stock,isPartial
2015-10-01,47,False
2015-10-02,39,False
2015-10-03,22,False
2015-10-04,22,False
2015-10-05,25,False
2015-10-06,31,False
2015-10-07,31,False
2015-10-08,38,False
2015-10-09,26,False
2015-10-10,22,False
2015-10-11,0,False
2015-10-12,19,False
2015-10-13,37,False
2015-10-14,37,False
2015-10-15,19,False
2015-10-16,58,False
2015-10-17,0,False
2015-10-18,0,False
2015-10-19,31,False
2015-10-20,27,False
2015-10-21,43,False
2015-10-22,100,False
2015-10-23,33,False
2015-10-24,22,False
2015-10-25,0,False
2015-10-26,36,False
2015-10-27,43,False
2015-10-28,37,False
2015-10-29,50,False
2015-10-30,0,False
2015-10-31,22,False
