,date,PFE,isPartial
22,2012-07-23,29.97,False
23,2012-07-24,26.27,False
24,2012-07-25,22.57,False
25,2012-07-26,19.98,False
26,2012-07-27,25.16,False
27,2012-07-28,18.5,False
28,2012-07-29,12.209999999999999,False
29,2012-07-30,12.209999999999999,False
30,2012-07-31,21.09,False
0,2012-08-01,21.0,False
1,2012-08-02,23.45,False
2,2012-08-03,21.0,False
3,2012-08-04,11.549999999999999,False
4,2012-08-05,6.3,False
5,2012-08-06,23.099999999999998,False
6,2012-08-07,17.5,False
7,2012-08-08,22.049999999999997,False
8,2012-08-09,16.799999999999997,False
9,2012-08-10,33.25,False
10,2012-08-11,5.25,False
11,2012-08-12,6.6499999999999995,False
12,2012-08-13,19.95,False
13,2012-08-14,21.0,False
14,2012-08-15,35.0,False
15,2012-08-16,18.2,False
16,2012-08-17,23.45,False
17,2012-08-18,6.6499999999999995,False
18,2012-08-19,2.8,False
19,2012-08-20,23.45,False
20,2012-08-21,22.049999999999997,False
21,2012-08-22,24.15,False
22,2012-08-23,23.099999999999998,False
23,2012-08-24,21.7,False
24,2012-08-25,10.149999999999999,False
25,2012-08-26,9.799999999999999,False
26,2012-08-27,14.0,False
27,2012-08-28,15.049999999999999,False
28,2012-08-29,21.349999999999998,False
29,2012-08-30,19.599999999999998,False
30,2012-08-31,18.9,False
0,2012-09-01,7.6,False
1,2012-09-02,6.08,False
2,2012-09-03,17.48,False
3,2012-09-04,22.42,False
4,2012-09-05,27.36,False
5,2012-09-06,29.26,False
6,2012-09-07,20.14,False
7,2012-09-08,8.74,False
8,2012-09-09,8.74,False
9,2012-09-10,27.740000000000002,False
10,2012-09-11,22.42,False
11,2012-09-12,38.0,False
12,2012-09-13,24.32,False
13,2012-09-14,24.7,False
14,2012-09-15,12.540000000000001,False
15,2012-09-16,8.74,False
16,2012-09-17,18.62,False
17,2012-09-18,24.7,False
18,2012-09-19,19.76,False
19,2012-09-20,26.98,False
20,2012-09-21,20.52,False
21,2012-09-22,8.74,False
22,2012-09-23,9.120000000000001,False
23,2012-09-24,20.52,False
24,2012-09-25,23.94,False
25,2012-09-26,22.04,False
26,2012-09-27,22.8,False
27,2012-09-28,25.080000000000002,False
28,2012-09-29,9.88,False
29,2012-09-30,10.64,False
0,2012-10-01,33.300000000000004,False
1,2012-10-02,28.8,False
2,2012-10-03,38.7,False
3,2012-10-04,39.15,False
4,2012-10-05,45.0,False
5,2012-10-06,22.5,False
6,2012-10-07,18.0,False
7,2012-10-08,24.3,False
8,2012-10-09,40.050000000000004,False
9,2012-10-10,40.95,False
10,2012-10-11,36.9,False
11,2012-10-12,24.75,False
12,2012-10-13,13.950000000000001,False
13,2012-10-14,18.900000000000002,False
14,2012-10-15,34.2,False
15,2012-10-16,31.5,False
16,2012-10-17,43.65,False
17,2012-10-18,40.95,False
18,2012-10-19,36.45,False
19,2012-10-20,14.85,False
20,2012-10-21,15.3,False
21,2012-10-22,37.35,False
22,2012-10-23,43.65,False
23,2012-10-24,39.15,False
24,2012-10-25,33.300000000000004,False
25,2012-10-26,36.45,False
26,2012-10-27,15.75,False
27,2012-10-28,9.450000000000001,False
28,2012-10-29,31.05,False
29,2012-10-30,29.25,False
30,2012-10-31,36.0,False
0,2012-11-01,26.64,False
1,2012-11-02,13.69,False
2,2012-11-03,9.62,False
3,2012-11-04,15.91,False
4,2012-11-05,22.57,False
5,2012-11-06,15.54,False
6,2012-11-07,25.16,False
7,2012-11-08,21.46,False
8,2012-11-09,17.759999999999998,False
9,2012-11-10,9.62,False
10,2012-11-11,9.25,False
11,2012-11-12,20.35,False
12,2012-11-13,21.83,False
13,2012-11-14,18.13,False
14,2012-11-15,18.5,False
15,2012-11-16,30.34,False
16,2012-11-17,13.32,False
17,2012-11-18,13.32,False
18,2012-11-19,16.65,False
19,2012-11-20,19.98,False
20,2012-11-21,25.16,False
21,2012-11-22,28.12,False
22,2012-11-23,22.57,False
23,2012-11-24,14.8,False
24,2012-11-25,12.95,False
25,2012-11-26,27.38,False
26,2012-11-27,36.63,False
27,2012-11-28,28.49,False
28,2012-11-29,26.64,False
29,2012-11-30,37.0,False
0,2012-12-01,12.0,False
1,2012-12-02,8.0,False
2,2012-12-03,18.8,False
3,2012-12-04,40.0,False
4,2012-12-05,32.4,False
5,2012-12-06,22.8,False
6,2012-12-07,27.200000000000003,False
7,2012-12-08,15.200000000000001,False
8,2012-12-09,8.0,False
9,2012-12-10,27.6,False
10,2012-12-11,27.6,False
11,2012-12-12,24.8,False
12,2012-12-13,31.6,False
13,2012-12-14,22.400000000000002,False
14,2012-12-15,16.0,False
15,2012-12-16,18.8,False
16,2012-12-17,23.6,False
17,2012-12-18,26.0,False
18,2012-12-19,24.400000000000002,False
19,2012-12-20,27.200000000000003,False
20,2012-12-21,26.400000000000002,False
21,2012-12-22,8.4,False
22,2012-12-23,5.6000000000000005,False
23,2012-12-24,11.200000000000001,False
24,2012-12-25,12.0,False
25,2012-12-26,20.400000000000002,False
26,2012-12-27,14.4,False
27,2012-12-28,24.8,False
28,2012-12-29,14.0,False
29,2012-12-30,12.4,False
30,2012-12-31,22.400000000000002,False
0,2013-01-01,13.94,False
1,2013-01-02,30.34,False
2,2013-01-03,40.589999999999996,False
3,2013-01-04,25.419999999999998,False
4,2013-01-05,9.43,False
5,2013-01-06,16.81,False
6,2013-01-07,27.88,False
7,2013-01-08,27.06,False
8,2013-01-09,32.8,False
9,2013-01-10,41.0,False
10,2013-01-11,40.589999999999996,False
11,2013-01-12,13.12,False
12,2013-01-13,7.789999999999999,False
13,2013-01-14,38.54,False
14,2013-01-15,35.26,False
15,2013-01-16,25.009999999999998,False
16,2013-01-17,33.21,False
17,2013-01-18,32.39,False
18,2013-01-19,12.709999999999999,False
19,2013-01-20,11.889999999999999,False
20,2013-01-21,22.959999999999997,False
21,2013-01-22,27.47,False
22,2013-01-23,28.7,False
23,2013-01-24,35.669999999999995,False
24,2013-01-25,34.03,False
25,2013-01-26,14.35,False
26,2013-01-27,11.479999999999999,False
27,2013-01-28,31.979999999999997,False
