date,FB stock,isPartial
2013-05-01,100,False
2013-05-02,96,False
2013-05-03,69,False
2013-05-04,26,False
2013-05-05,12,False
2013-05-06,54,False
2013-05-07,48,False
2013-05-08,45,False
2013-05-09,43,False
2013-05-10,44,False
2013-05-11,23,False
2013-05-12,8,False
2013-05-13,38,False
2013-05-14,38,False
2013-05-15,51,False
2013-05-16,57,False
2013-05-17,51,False
2013-05-18,20,False
2013-05-19,13,False
2013-05-20,37,False
2013-05-21,51,False
2013-05-22,44,False
2013-05-23,42,False
2013-05-24,51,False
2013-05-25,23,False
2013-05-26,25,False
2013-05-27,24,False
2013-05-28,44,False
2013-05-29,55,False
2013-05-30,69,False
2013-05-31,70,False
