date,PFE stock,isPartial
2016-05-01,15,False
2016-05-02,53,False
2016-05-03,88,False
2016-05-04,80,False
2016-05-05,69,False
2016-05-06,80,False
2016-05-07,26,False
2016-05-08,10,False
2016-05-09,75,False
2016-05-10,100,False
2016-05-11,39,False
2016-05-12,58,False
2016-05-13,68,False
2016-05-14,21,False
2016-05-15,25,False
2016-05-16,70,False
2016-05-17,56,False
2016-05-18,52,False
2016-05-19,57,False
2016-05-20,88,False
2016-05-21,21,False
2016-05-22,20,False
2016-05-23,31,False
2016-05-24,66,False
2016-05-25,49,False
2016-05-26,65,False
2016-05-27,56,False
2016-05-28,21,False
2016-05-29,0,False
2016-05-30,18,False
2016-05-31,66,False
