date,GOOG stock,isPartial
2015-02-01,28,False
2015-02-02,62,False
2015-02-03,100,False
2015-02-04,62,False
2015-02-05,88,False
2015-02-06,88,False
2015-02-07,37,False
2015-02-08,16,False
2015-02-09,59,False
2015-02-10,82,False
2015-02-11,80,False
2015-02-12,78,False
2015-02-13,85,False
2015-02-14,38,False
2015-02-15,58,False
2015-02-16,54,False
2015-02-17,83,False
2015-02-18,75,False
2015-02-19,61,False
2015-02-20,84,False
2015-02-21,21,False
2015-02-22,24,False
2015-02-23,55,False
2015-02-24,82,False
2015-02-25,76,False
2015-02-26,73,False
2015-02-27,72,False
2015-02-28,40,False
