date,DIS stock,isPartial
2012-04-01,0,False
2012-04-02,100,False
2012-04-03,33,False
2012-04-04,0,False
2012-04-05,0,False
2012-04-06,0,False
2012-04-07,0,False
2012-04-08,0,False
2012-04-09,0,False
2012-04-10,0,False
2012-04-11,66,False
2012-04-12,33,False
2012-04-13,35,False
2012-04-14,40,False
2012-04-15,0,False
2012-04-16,0,False
2012-04-17,66,False
2012-04-18,65,False
2012-04-19,33,False
2012-04-20,35,False
2012-04-21,0,False
2012-04-22,0,False
2012-04-23,32,False
2012-04-24,65,False
2012-04-25,66,False
2012-04-26,33,False
2012-04-27,70,False
2012-04-28,41,False
2012-04-29,0,False
2012-04-30,68,False
