date,MSFT stock,isPartial
2012-04-01,19,False
2012-04-02,48,False
2012-04-03,64,False
2012-04-04,74,False
2012-04-05,50,False
2012-04-06,37,False
2012-04-07,100,False
2012-04-08,0,False
2012-04-09,32,False
2012-04-10,65,False
2012-04-11,52,False
2012-04-12,90,False
2012-04-13,39,False
2012-04-14,38,False
2012-04-15,31,False
2012-04-16,62,False
2012-04-17,36,False
2012-04-18,88,False
2012-04-19,90,False
2012-04-20,99,False
2012-04-21,19,False
2012-04-22,37,False
2012-04-23,57,False
2012-04-24,31,False
2012-04-25,57,False
2012-04-26,84,False
2012-04-27,50,False
2012-04-28,19,False
2012-04-29,19,False
2012-04-30,60,False
