date,PFE stock,isPartial
2014-06-01,20,False
2014-06-02,33,False
2014-06-03,49,False
2014-06-04,66,False
2014-06-05,68,False
2014-06-06,89,False
2014-06-07,0,False
2014-06-08,0,False
2014-06-09,34,False
2014-06-10,17,False
2014-06-11,100,False
2014-06-12,34,False
2014-06-13,88,False
2014-06-14,0,False
2014-06-15,20,False
2014-06-16,50,False
2014-06-17,33,False
2014-06-18,68,False
2014-06-19,52,False
2014-06-20,54,False
2014-06-21,21,False
2014-06-22,0,False
2014-06-23,50,False
2014-06-24,17,False
2014-06-25,50,False
2014-06-26,34,False
2014-06-27,54,False
2014-06-28,0,False
2014-06-29,0,False
2014-06-30,51,False
