date,CTSH stock,isPartial
2014-09-01,0,False
2014-09-02,33,False
2014-09-03,0,False
2014-09-04,45,False
2014-09-05,71,False
2014-09-06,0,False
2014-09-07,0,False
2014-09-08,22,False
2014-09-09,55,False
2014-09-10,0,False
2014-09-11,55,False
2014-09-12,23,False
2014-09-13,27,False
2014-09-14,0,False
2014-09-15,100,False
2014-09-16,44,False
2014-09-17,67,False
2014-09-18,45,False
2014-09-19,47,False
2014-09-20,27,False
2014-09-21,26,False
2014-09-22,66,False
2014-09-23,44,False
2014-09-24,0,False
2014-09-25,33,False
2014-09-26,23,False
2014-09-27,27,False
2014-09-28,0,False
2014-09-29,22,False
2014-09-30,0,False
