date,ODP stock,isPartial
2017-04-01,39,False
2017-04-02,39,False
2017-04-03,33,False
2017-04-04,56,False
2017-04-05,50,False
2017-04-06,68,False
2017-04-07,35,False
2017-04-08,40,False
2017-04-09,40,False
2017-04-10,51,False
2017-04-11,34,False
2017-04-12,35,False
2017-04-13,36,False
2017-04-14,38,False
2017-04-15,41,False
2017-04-16,0,False
2017-04-17,70,False
2017-04-18,33,False
2017-04-19,55,False
2017-04-20,56,False
2017-04-21,70,False
2017-04-22,0,False
2017-04-23,0,False
2017-04-24,100,False
2017-04-25,68,False
2017-04-26,50,False
2017-04-27,34,False
2017-04-28,70,False
2017-04-29,39,False
2017-04-30,0,False
