date,TWTR,isPartial
2012-04-01,34,False
2012-04-02,29,False
2012-04-03,0,False
2012-04-04,29,False
2012-04-05,60,False
2012-04-06,100,False
2012-04-07,36,False
2012-04-08,0,False
2012-04-09,51,False
2012-04-10,88,False
2012-04-11,56,False
2012-04-12,28,False
2012-04-13,0,False
2012-04-14,68,False
2012-04-15,34,False
2012-04-16,28,False
2012-04-17,28,False
2012-04-18,0,False
2012-04-19,28,False
2012-04-20,29,False
2012-04-21,34,False
2012-04-22,33,False
2012-04-23,0,False
2012-04-24,55,False
2012-04-25,70,False
2012-04-26,56,False
2012-04-27,45,False
2012-04-28,35,False
2012-04-29,34,False
2012-04-30,29,False
