date,AMD stock,isPartial
2017-02-01,70,False
2017-02-02,57,False
2017-02-03,41,False
2017-02-04,12,False
2017-02-05,10,False
2017-02-06,59,False
2017-02-07,61,False
2017-02-08,47,False
2017-02-09,53,False
2017-02-10,48,False
2017-02-11,21,False
2017-02-12,13,False
2017-02-13,46,False
2017-02-14,42,False
2017-02-15,39,False
2017-02-16,40,False
2017-02-17,45,False
2017-02-18,16,False
2017-02-19,10,False
2017-02-20,21,False
2017-02-21,53,False
2017-02-22,95,False
2017-02-23,92,False
2017-02-24,62,False
2017-02-25,24,False
2017-02-26,18,False
2017-02-27,76,False
2017-02-28,100,False
