date,SYMC stock,isPartial
2017-01-01,0,False
2017-01-02,27,False
2017-01-03,26,False
2017-01-04,39,False
2017-01-05,26,False
2017-01-06,27,False
2017-01-07,29,False
2017-01-08,0,False
2017-01-09,25,False
2017-01-10,25,False
2017-01-11,25,False
2017-01-12,76,False
2017-01-13,52,False
2017-01-14,29,False
2017-01-15,28,False
2017-01-16,50,False
2017-01-17,62,False
2017-01-18,49,False
2017-01-19,100,False
2017-01-20,86,False
2017-01-21,38,False
2017-01-22,28,False
2017-01-23,62,False
2017-01-24,91,False
2017-01-25,66,False
2017-01-26,50,False
2017-01-27,60,False
2017-01-28,29,False
2017-01-29,0,False
2017-01-30,41,False
2017-01-31,41,False
