date,EA stock,isPartial
2014-07-01,20,False
2014-07-02,31,False
2014-07-03,28,False
2014-07-04,27,False
2014-07-05,18,False
2014-07-06,19,False
2014-07-07,20,False
2014-07-08,25,False
2014-07-09,20,False
2014-07-10,24,False
2014-07-11,26,False
2014-07-12,16,False
2014-07-13,24,False
2014-07-14,37,False
2014-07-15,23,False
2014-07-16,34,False
2014-07-17,27,False
2014-07-18,37,False
2014-07-19,16,False
2014-07-20,18,False
2014-07-21,27,False
2014-07-22,60,False
2014-07-23,100,False
2014-07-24,31,False
2014-07-25,36,False
2014-07-26,17,False
2014-07-27,12,False
2014-07-28,34,False
2014-07-29,30,False
2014-07-30,44,False
2014-07-31,24,False
