date,MAT stock,isPartial
2016-01-01,47,False
2016-01-02,65,False
2016-01-03,96,False
2016-01-04,37,False
2016-01-05,84,False
2016-01-06,43,False
2016-01-07,37,False
2016-01-08,100,False
2016-01-09,32,False
2016-01-10,51,False
2016-01-11,27,False
2016-01-12,36,False
2016-01-13,55,False
2016-01-14,54,False
2016-01-15,29,False
2016-01-16,31,False
2016-01-17,0,False
2016-01-18,55,False
2016-01-19,27,False
2016-01-20,69,False
2016-01-21,42,False
2016-01-22,72,False
2016-01-23,0,False
2016-01-24,31,False
2016-01-25,54,False
2016-01-26,41,False
2016-01-27,36,False
2016-01-28,69,False
2016-01-29,71,False
2016-01-30,94,False
2016-01-31,46,False
