date,AAPL stock,isPartial
2012-01-01,13,False
2012-01-02,20,False
2012-01-03,32,False
2012-01-04,25,False
2012-01-05,29,False
2012-01-06,33,False
2012-01-07,15,False
2012-01-08,4,False
2012-01-09,47,False
2012-01-10,9,False
2012-01-11,31,False
2012-01-12,15,False
2012-01-13,23,False
2012-01-14,4,False
2012-01-15,4,False
2012-01-16,18,False
2012-01-17,39,False
2012-01-18,33,False
2012-01-19,42,False
2012-01-20,31,False
2012-01-21,4,False
2012-01-22,22,False
2012-01-23,30,False
2012-01-24,57,False
2012-01-25,100,False
2012-01-26,49,False
2012-01-27,41,False
2012-01-28,15,False
2012-01-29,14,False
2012-01-30,27,False
2012-01-31,36,False
