date,MAT stock,isPartial
2016-10-01,26,False
2016-10-02,51,False
2016-10-03,22,False
2016-10-04,22,False
2016-10-05,0,False
2016-10-06,23,False
2016-10-07,47,False
2016-10-08,26,False
2016-10-09,26,False
2016-10-10,23,False
2016-10-11,46,False
2016-10-12,0,False
2016-10-13,34,False
2016-10-14,47,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,34,False
2016-10-18,22,False
2016-10-19,100,False
2016-10-20,56,False
2016-10-21,23,False
2016-10-22,0,False
2016-10-23,52,False
2016-10-24,22,False
2016-10-25,33,False
2016-10-26,22,False
2016-10-27,23,False
2016-10-28,71,False
2016-10-29,0,False
2016-10-30,26,False
2016-10-31,46,False
