date,TWTR stock,isPartial
2015-06-01,31,False
2015-06-02,31,False
2015-06-03,38,False
2015-06-04,62,False
2015-06-05,43,False
2015-06-06,11,False
2015-06-07,15,False
2015-06-08,28,False
2015-06-09,22,False
2015-06-10,44,False
2015-06-11,83,False
2015-06-12,100,False
2015-06-13,15,False
2015-06-14,4,False
2015-06-15,37,False
2015-06-16,68,False
2015-06-17,53,False
2015-06-18,29,False
2015-06-19,30,False
2015-06-20,15,False
2015-06-21,11,False
2015-06-22,28,False
2015-06-23,38,False
2015-06-24,22,False
2015-06-25,29,False
2015-06-26,16,False
2015-06-27,15,False
2015-06-28,4,False
2015-06-29,29,False
2015-06-30,38,False
