date,MRVL stock,isPartial
2015-05-01,93,False
2015-05-02,0,False
2015-05-03,0,False
2015-05-04,82,False
2015-05-05,0,False
2015-05-06,82,False
2015-05-07,84,False
2015-05-08,0,False
2015-05-09,99,False
2015-05-10,0,False
2015-05-11,0,False
2015-05-12,81,False
2015-05-13,0,False
2015-05-14,0,False
2015-05-15,86,False
2015-05-16,0,False
2015-05-17,0,False
2015-05-18,0,False
2015-05-19,81,False
2015-05-20,0,False
2015-05-21,83,False
2015-05-22,87,False
2015-05-23,0,False
2015-05-24,100,False
2015-05-25,85,False
2015-05-26,81,False
2015-05-27,82,False
2015-05-28,82,False
2015-05-29,0,False
2015-05-30,97,False
2015-05-31,0,False
