date,DIS stock,isPartial
2017-04-01,6,False
2017-04-02,0,False
2017-04-03,33,False
2017-04-04,53,False
2017-04-05,38,False
2017-04-06,48,False
2017-04-07,54,False
2017-04-08,17,False
2017-04-09,6,False
2017-04-10,48,False
2017-04-11,73,False
2017-04-12,54,False
2017-04-13,36,False
2017-04-14,55,False
2017-04-15,23,False
2017-04-16,17,False
2017-04-17,50,False
2017-04-18,57,False
2017-04-19,61,False
2017-04-20,63,False
2017-04-21,45,False
2017-04-22,22,False
2017-04-23,11,False
2017-04-24,43,False
2017-04-25,72,False
2017-04-26,71,False
2017-04-27,92,False
2017-04-28,100,False
2017-04-29,23,False
2017-04-30,17,False
