date,WMT,isPartial
2015-05-01,49,False
2015-05-02,11,False
2015-05-03,18,False
2015-05-04,32,False
2015-05-05,42,False
2015-05-06,36,False
2015-05-07,42,False
2015-05-08,43,False
2015-05-09,20,False
2015-05-10,23,False
2015-05-11,30,False
2015-05-12,46,False
2015-05-13,35,False
2015-05-14,43,False
2015-05-15,32,False
2015-05-16,11,False
2015-05-17,16,False
2015-05-18,39,False
2015-05-19,100,False
2015-05-20,57,False
2015-05-21,41,False
2015-05-22,46,False
2015-05-23,28,False
2015-05-24,20,False
2015-05-25,20,False
2015-05-26,41,False
2015-05-27,42,False
2015-05-28,34,False
2015-05-29,37,False
2015-05-30,31,False
2015-05-31,18,False
