date,PFE stock,isPartial
2017-04-01,18,False
2017-04-02,0,False
2017-04-03,92,False
2017-04-04,69,False
2017-04-05,46,False
2017-04-06,93,False
2017-04-07,79,False
2017-04-08,18,False
2017-04-09,0,False
2017-04-10,92,False
2017-04-11,71,False
2017-04-12,55,False
2017-04-13,83,False
2017-04-14,18,False
2017-04-15,9,False
2017-04-16,9,False
2017-04-17,32,False
2017-04-18,60,False
2017-04-19,53,False
2017-04-20,100,False
2017-04-21,40,False
2017-04-22,36,False
2017-04-23,0,False
2017-04-24,38,False
2017-04-25,53,False
2017-04-26,68,False
2017-04-27,31,False
2017-04-28,48,False
2017-04-29,18,False
2017-04-30,36,False
