date,ATVI stock,isPartial
2014-03-01,0,False
2014-03-02,0,False
2014-03-03,0,False
2014-03-04,29,False
2014-03-05,72,False
2014-03-06,57,False
2014-03-07,30,False
2014-03-08,67,False
2014-03-09,34,False
2014-03-10,0,False
2014-03-11,28,False
2014-03-12,100,False
2014-03-13,58,False
2014-03-14,45,False
2014-03-15,34,False
2014-03-16,0,False
2014-03-17,29,False
2014-03-18,0,False
2014-03-19,28,False
2014-03-20,29,False
2014-03-21,30,False
2014-03-22,34,False
2014-03-23,0,False
2014-03-24,70,False
2014-03-25,28,False
2014-03-26,29,False
2014-03-27,29,False
2014-03-28,59,False
2014-03-29,34,False
2014-03-30,0,False
2014-03-31,57,False
