date,BA stock,isPartial
2015-07-01,36,False
2015-07-02,26,False
2015-07-03,14,False
2015-07-04,9,False
2015-07-05,19,False
2015-07-06,33,False
2015-07-07,18,False
2015-07-08,35,False
2015-07-09,31,False
2015-07-10,34,False
2015-07-11,9,False
2015-07-12,23,False
2015-07-13,35,False
2015-07-14,28,False
2015-07-15,26,False
2015-07-16,47,False
2015-07-17,36,False
2015-07-18,23,False
2015-07-19,0,False
2015-07-20,43,False
2015-07-21,46,False
2015-07-22,100,False
2015-07-23,41,False
2015-07-24,40,False
2015-07-25,27,False
2015-07-26,9,False
2015-07-27,33,False
2015-07-28,40,False
2015-07-29,15,False
2015-07-30,23,False
2015-07-31,24,False
