date,COST stock,isPartial
2013-07-01,100,False
2013-07-02,66,False
2013-07-03,82,False
2013-07-04,53,False
2013-07-05,58,False
2013-07-06,56,False
2013-07-07,51,False
2013-07-08,69,False
2013-07-09,69,False
2013-07-10,86,False
2013-07-11,86,False
2013-07-12,70,False
2013-07-13,66,False
2013-07-14,54,False
2013-07-15,79,False
2013-07-16,69,False
2013-07-17,87,False
2013-07-18,84,False
2013-07-19,77,False
2013-07-20,50,False
2013-07-21,86,False
2013-07-22,82,False
2013-07-23,75,False
2013-07-24,95,False
2013-07-25,71,False
2013-07-26,96,False
2013-07-27,47,False
2013-07-28,64,False
2013-07-29,97,False
2013-07-30,96,False
2013-07-31,70,False
