date,EXPE stock,isPartial
2015-05-01,0,False
2015-05-02,0,False
2015-05-03,0,False
2015-05-04,75,False
2015-05-05,0,False
2015-05-06,0,False
2015-05-07,50,False
2015-05-08,53,False
2015-05-09,0,False
2015-05-10,0,False
2015-05-11,0,False
2015-05-12,0,False
2015-05-13,0,False
2015-05-14,0,False
2015-05-15,52,False
2015-05-16,0,False
2015-05-17,0,False
2015-05-18,49,False
2015-05-19,49,False
2015-05-20,0,False
2015-05-21,100,False
2015-05-22,52,False
2015-05-23,0,False
2015-05-24,0,False
2015-05-25,0,False
2015-05-26,49,False
2015-05-27,49,False
2015-05-28,0,False
2015-05-29,51,False
2015-05-30,0,False
2015-05-31,0,False
